Comune;Provincia;Localit ;Tipologia;Tipologia secondaria;Categoria;Stelle;Denominazione;Indirizzo;Numero civico;Interno;CAP;Telefono;FAX;Posta elettronica;Sito internet;Zona;Accesso ai disabili;Piscina;Piscina coperta;Ristorante;Parcheggio;Sala conferenze;Aria condizionata;Giochi bimbi;Sauna;Solarium;Fitness;Animali ammessi;Centro storico;Zona fiera;Lago;Aeroporto;Autostrada;Impianti risalita;Stazione FS;Mare;Termale;Periferia;Collinare;Inglese;Francese;Tedesco;Spagnolo;Chiusura temporanea;Altri servizi;Codice identificativo;Data ultima modifica;Nuova classificazione LR11
AFFI;VERONA;;AFFITTACAMERE;;2;;CA\' VETTOR UNO;VIA CA\' DEL BOSCO;5;;37010;0456261278;0456260924;info@cavettor.com;www.cavettor.com;garda;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;Si;No;No;internet wireless wi fi;47397;42781;2 Leoni
AFFI;VERONA;;AFFITTACAMERE;;2;;LOCANDA MOSCAL;Via Pigna;2;;37010;0456260309;0456267325;info@moscal.it;www.moscal.it;garda;No;No;No;Si;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;LINEA DATI ADSL (INTERNET);308;42810;3 Leoni
AFFI;VERONA;;AFFITTACAMERE;;3;;CAORSA;Localit  Caorsa;11;;37010;0457235039;0456264490;info@caorsa.it;www.caorsa.it;garda;No;No;No;Si;Si;No;Si;Si;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;Si;Si;No;Si;No;No;;307;42830;3 Leoni
AFFI;VERONA;;AGRITURISMO;;;;AGRITURISMO RIONDEL;Via Coletto;1;;37010;348 7507334 - 045 4854523;045 4850600;info@agriturismoriondel.it;www.agriturismoriondel.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;91980;42347;
AFFI;VERONA;;AGRITURISMO;;;;INCAFFI;Via Casetta;2;;37010;045 - 7235301;045 - 7235301;info@agriturismoincaffi.com;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18360;42655;
AFFI;VERONA;;AGRITURISMO;;;;LA CASETTA                PINAMONTE GIOV;Via Casetta;25;;37010;045 - 7236352;045 - 7236352;info@agriturlacasetta.it;www.agriturlacasetta.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18361;42102;
AFFI;VERONA;;ALBERGO;Albergo;;3 ***;CORTE IMPERO;Via Pozzo Dell\'Amore;35;;37010;0457235103;0456268035;info@corteimpero.com;www.corteimpero.com;garda;No;No;No;Si;Si;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2703;41779;
AFFI;VERONA;;ALBERGO;Albergo;;3 ***;HOTEL GARDA;Via Carducci;2/B;;37010;0456261260;0456261256;info@hotel-garda.it;www.hotel-garda.it;garda;No;No;No;Si;Si;No;Si;No;No;No;No;Si;No;No;No;No;Si;No;No;No;No;Si;No;Si;Si;Si;Si;No;;2705;42900;3 ***
AFFI;VERONA;;ALBERGO;Albergo;;4 ****;PARK HOTEL AFFI;Via Crivellin;1/A;;37010;0457235650;0457238104;parkhotelaffi@gmail.com;www.cithotels.com;garda;Si;Si;No;Si;Si;No;Si;No;Si;No;No;Si;No;No;Si;No;Si;No;No;No;No;Si;No;Si;Si;Si;No;No;ELIPORTO;2704;42535;
AFFI;VERONA;;ALTRA RICETTIVITA\';Casa religiosa di ospitalit ;;;VILLA ELENA;VIA ELENA DA PERSICO;23;;37010;0457235024;0456260084;villaelenaaffi@alice.it;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;;49737;42828;2 Leoni
AFFI;VERONA;;APPARTAMENTO;;2;;CA\' VETTOR;Via Ca\' del Bosco;3;;37010;0456261278;0456260924;info@cavettor.com;wwww.cavettor.com;garda;No;Si;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;Si;No;No;internet wireless, wi-fi in zona reception;7092;42781;2 Leoni
